sign_rus;sign_sunscrit;sign_text
♈ Овен;Меша;Сильные эмоции, страсть, азарт. Активные действия, энергичность, решительность, дух соревнований, способность вести за собой. Главное - не спешить и не переутомляться.
♉ Телец;Вришабха;День радости и гармонии, чуткости и заботы. Продуктивность, практичность, сдержанность, упорство, реализм, стремление к удовольствиям и материальным вещам.
♊ Близнецы;Митхуна;Отличный день для дружеского общения, переговоров, подписания контрактов, написания текстов и обучения. Проявится смекалка, оригинальность мышления, оптимизм. Главное - не хотеть слишком много).
♋ Рак;Карка;Эмоциональный день. Эмпатия, принятие, желание опекать. Благоприятно навещать матерей, проявлять милосердие, заниматься духовным совершенствованием.
♌ Лев;Симха;Активность, публичность,  умение вести за собой, смелость, благородство и великодушие. Берегитесь собственного эгоизма и доминирования.
♍ Дева;Канья;Стремление к чистоте, к порядку, ответственность, аналитический подход, умение работать с цифрами и текстом. Сомнения и желание все контролировать могут стать препятствием.
♎ Весы;Тула;День дипломатии, успешных переговоров, гармоничного общения. Устремление в сторону прекрасного, тонкость воспрития, оригинальнность. Возможны перепады в настроении.
♏ Скорпион;Вришчика;Эмоциональная уязвимость, обидчивость, ранимость, чувство одиночества. Наряду с этим: бесстрашие, хладнокровие, решительность и смелость. Не критикуйте других и не встревайте в пустые споры.
♐ Стрелец;Дхану;День наполненный чистыми устремлениями, желанием просвещать и отстаивать свои идеалы. Оптимизм,  великодушие. Самообразование и повышение квалификации.
♑ Козерог;Макара;Способность действовать спокойно, твердо и бесстрастно. Возможность проявить свои организаторские способности. Промедления в делах, пессимизм и несговорчивость.
♒ Водолей;Кумбха;День общения и открытости, ломки старых шаблонов  и поиска новых путей. Направленность на социальные процессы. Постижение духовных и эзотерических знаний.
♓ Рыбы;Мина;Творческий, романтический день. Проявление интуиции, восприимчивость, отзывчивость. Стремление к уединению и медитации. Могут возникнуть колебания в принятии решений.
